var,center,scale
log_size_t0,5.4132529202588024,0.953603291159527
ann_snow_days,56.51995144894563,15.870354523887647
win_meanT_mean,-6.469567209243601,1.8501853719177976
win_meanT_range,15.690811448012335,2.6361037080917744
gs_meanT_mean,8.484438535343315,1.6534406976436173
gs_meanT_range,17.60510542683229,2.1864172199130842
est_25,0.037832410906268606,0.2206767631747799
nrt_25,0.0943297425232027,0.38711857921166637
tpi_25,-0.003381735205173436,0.010645583205186031
tri_25,0.03662621531739459,0.018888880850576172
plcv_25,-0.04356115111680109,0.34074651750398344
prcv_25,-0.042041495958852364,0.366735737674644
pop_slp,11.523459752309705,6.611553013937685
pop_est,0.26880498137399045,0.42036422106617116
pop_nrt,0.04928013714717339,0.747185611781985
